# Ledger of every migration APPLIED to Supabase project fgybyghwcjlstqxkclch,
# and the repository file that represents it. Refresh instructions and the
# meaning of FOLDED: are in docs/db/MIGRATION_INTEGRITY.md.
# version	applied_name	md5(statements)	repo_file
20260531194731	0001_init	0961961bc19511c11f166d5f535e0ec2	0001_init.sql
20260531194741	0002_push	b9762d5dbdeb7f5d3ba48aa378fc67ab	0002_push.sql
20260531211409	0003_wanted_posts	f4296a879bfbc08d9efea62d00927d82	0003_wanted_posts.sql
20260531213539	0004_pickup_chat	7657e8fe7638128e9fd23e81fea31479	0004_pickup_chat.sql
20260601030512	0005_markets	4c3044561eb633ec2eb1eca2f06be312	0005_markets.sql
20260601032941	0006_listing_types	078dc77f22a3cf7fd82930c99b225101	0006_listing_types.sql
20260601034113	0007_claim_requests	63e461e16fcf4b82a520a221b4b530c7	0007_claim_requests.sql
20260601035106	0008_plan_limits	8540bde0c59dff5bf9358c5d0e8b77df	0008_plan_limits.sql
20260601050547	0009_map_privacy	8d49be4db01fd45e2b6d0270bf0c737b	0009_map_privacy.sql
20260601051022	0010_map_privacy_fix	58083fcbb6e91e38501693811c652472	0010_map_privacy_fix.sql
20260601060654	0011_promotions	f7caefab5646672e9072123261ed8e56	0011_promotions.sql
20260601064331	0012_public_web	9407bc04bd756a7508e6d09d4844072e	0012_public_web.sql
20260803041837	0014_realtime_chat	c8df3224a126d9f91809a5853147c238	0014_realtime_chat.sql
20260803041931	0013_trust_layer	3c23a16a0a7d236355ba67d9d732494b	0013_trust_layer.sql
20260803041946	0015_trust_verified_email	1a0feedc2eea8abf62bcd0cb2e81ac74	0015_trust_verified_email.sql
20260803042003	0016_user_blocks	4a60003d7a1fbe19c7117a98a50e1025	0016_user_blocks.sql
20260803042020	0017_feedback	4ebd2bb0d8332865b442557013e65c57	0017_feedback.sql
20260803042029	0018_auto_expire_cron	b98877aac1cfaae76a5ddcfa21592877	0018_auto_expire_cron.sql
20260805034841	ai_usage_caps	649d50e4b965dda0a4d335f08d68d1eb	0019_ai_usage_caps.sql
20260805040523	public_geo	9530957d0920f73adb286e1eaeb692bb	0020_public_geo.sql
20260807015646	0021_plot_type	4747e2a8792fd90eeac268b94ceeebbf	0021_plot_type.sql
20260807015702	0022_plot_reservations	5335d908556fe3a11e55d6d0b0e87754	0022_plot_reservations.sql
20260807031713	0023_demo_labeling	b417e86a2b50f5b767b2e9f33e731730	0023_demo_labeling.sql
20260807035059	0024_admin_moderation	6a152e8c302431edb47b3aa8fbcf0960	0024_admin_moderation.sql
20260807035112	0025_events_guard	83e4fae66dc2f16c03431a3b4e0aa482	0025_events_guard.sql
20260808005047	0026_plot_thread_updates	d4241791b26e64deb7e68a11bc2d8ea6	0026_plot_thread_updates.sql
20260808013754	0027_events_allowlist_gnome	f4581f1dba1fb5950916fe021fae7d01	0027_events_allowlist_gnome.sql
20260808022959	0028_seed_drop_v1	761cdc6c967bc2e3a4ed9044caac72d5	0028_seed_drop_v1.sql
20260808023422	0029_seed_log_admin_insert	2290041395ce828cac7aa5b20c58eb55	0029_seed_log_admin_insert.sql
20260808031147	0030_seed_multi_size	3485a21cda9042589cc847f708f7452d	0030_seed_multi_size.sql
20260808033158	0031_admin_ops	34cd5d322b0112e441c00326a2a290d5	0031_admin_ops.sql
